question_id,question_text,options_json
40078,"<p dir=""ltr""><span>Which of the following is the correct way to declare and initialize an integer variable in java?</span></p>","[{""id"": 164497, ""text"": ""<p dir=\""ltr\""><span>&nbsp;int number = \""10\"";</span></p>""}, {""id"": 164498, ""text"": ""<p dir=\""ltr\""><span>&nbsp;int number = 10;</span></p><p dir=\""ltr\""><br></p>""}, {""id"": 164499, ""text"": ""<p dir=\""ltr\""><span>int 10number = 10;</span></p>""}, {""id"": 164500, ""text"": ""<p dir=\""ltr\""><span>int number; number = 10;</span></p>""}]"
40079,"<p dir=""ltr""><span>Which of these variable names is valid in Java?</span></p>","[{""id"": 164501, ""text"": ""<p dir=\""ltr\""><span>123variable</span></p>""}, {""id"": 164502, ""text"": ""<p dir=\""ltr\""><span>variable_123</span></p>""}, {""id"": 164503, ""text"": ""<p dir=\""ltr\""><span>&nbsp;#variable</span></p>""}, {""id"": 164504, ""text"": ""<p dir=\""ltr\""><span>&nbsp;int</span></p>""}]"
40080,"<p dir=""ltr""><span>What is the default value of a boolean variable in Java?</span></p>","[{""id"": 164505, ""text"": ""<p><span>1</span></p>""}, {""id"": 164506, ""text"": ""<p dir=\""ltr\""><span>false</span></p><p dir=\""ltr\""><br></p>""}, {""id"": 164507, ""text"": ""<p dir=\""ltr\""><span>true</span></p>""}, {""id"": 164508, ""text"": ""<p dir=\""ltr\""><span>null</span></p>""}]"
40081,"<p dir=""ltr""><span>Which of the following is an example of autoboxing in Java?</span></p>","[{""id"": 164509, ""text"": ""<p dir=\""ltr\""><span>int i = 5; Integer obj = i;</span></p>""}, {""id"": 164510, ""text"": ""<p dir=\""ltr\""><span>Integer obj = new Integer(5);</span></p>""}, {""id"": 164511, ""text"": ""<p dir=\""ltr\""><span>int i = obj;</span></p>""}, {""id"": 164512, ""text"": ""<p dir=\""ltr\""><span>Integer obj = 5;</span></p>""}]"
40089,"
<p>Predict the output of following Java program.</p>

<gfg-tabs data-run-ide=""false"">
        <gfg-tab slot=""tab"">Java</gfg-tab>
        <gfg-panel slot=""panel"" data-code-lang=""java"">
        <code class=""language-java""><div class=highlight><pre><span></span><span class=kd>class</span> <span class=nc>Test</span><span class=w> </span><span class=p>{</span><span class=w> </span>
<span class=w>    </span><span class=kd>public</span><span class=w> </span><span class=kd>static</span><span class=w> </span><span class=kt>void</span><span class=w> </span><span class=nf>main</span><span class=p>(</span><span class=n>String</span><span class=o>[]</span><span class=w> </span><span class=n>args</span><span class=p>)</span><span class=w> </span><span class=p>{</span><span class=w> </span>
<span class=w>      </span><span class=k>for</span><span class=p>(</span><span class=kt>int</span><span class=w> </span><span class=n>i</span><span class=w> </span><span class=o>=</span><span class=w> </span><span class=mi>0</span><span class=p>;</span><span class=w> </span><span class=mi>0</span><span class=p>;</span><span class=w> </span><span class=n>i</span><span class=o>++</span><span class=p>)</span><span class=w> </span>
<span class=w>      </span><span class=p>{</span><span class=w> </span>
<span class=w>          </span><span class=n>System</span><span class=p>.</span><span class=na>out</span><span class=p>.</span><span class=na>println</span><span class=p>(</span><span class=s>&quot;Hello&quot;</span><span class=p>);</span><span class=w> </span>
<span class=w>          </span><span class=k>break</span><span class=p>;</span><span class=w> </span>
<span class=w>      </span><span class=p>}</span><span class=w> </span>
<span class=w>    </span><span class=p>}</span><span class=w> </span>
<span class=p>}</span><span class=w> </span>
</pre></div></code>
        </gfg-panel>
    </gfg-tabs>

","[{""id"": 164541, ""text"": ""\n<p>Hello</p>\n""}, {""id"": 164542, ""text"": ""\n<p>Empty Output</p>\n""}, {""id"": 164543, ""text"": ""\n<p>Compiler error</p>\n""}, {""id"": 164544, ""text"": ""\n<p>Runtime error</p>\n""}]"
40083,"<p dir=""ltr""><span>Which of the following is an example of explicit type casting in Java?</span></p>","[{""id"": 164517, ""text"": ""<p dir=\""ltr\""><span>int i = 10.5;</span></p><p dir=\""ltr\""><br></p>""}, {""id"": 164518, ""text"": ""<p dir=\""ltr\""><span>int i = (int) 10.5;</span></p>""}, {""id"": 164519, ""text"": ""<p dir=\""ltr\""><span>double d = 10;</span></p>""}, {""id"": 164520, ""text"": ""<p dir=\""ltr\""><span>float f = 10.5F;</span></p>""}]"
40084,"<p dir=""ltr""><span>What will be the output of the following Java program?</span></p><gfg-tabs data-run-ide=""false"">
        <gfg-tab slot=""tab"">Java</gfg-tab>
        <gfg-panel slot=""panel"" data-code-lang=""java"">
        <code class=""language-java""><div class=highlight><pre><span></span><span class=kn>import</span><span class=w> </span><span class=nn>java.io.*</span><span class=p>;</span>

<span class=kd>public</span><span class=w> </span><span class=kd>class</span> <span class=nc>Test</span><span class=w> </span><span class=p>{</span>
<span class=w>    </span><span class=kd>public</span><span class=w> </span><span class=kd>static</span><span class=w> </span><span class=kt>void</span><span class=w> </span><span class=nf>main</span><span class=p>(</span><span class=n>String</span><span class=o>[]</span><span class=w> </span><span class=n>args</span><span class=p>)</span>
<span class=w>    </span><span class=p>{</span>
<span class=w>        </span><span class=kt>char</span><span class=w> </span><span class=n>c</span><span class=w> </span><span class=o>=</span><span class=w> </span><span class=sc>&#39;A&#39;</span><span class=p>;</span>
<span class=w>        </span><span class=kt>int</span><span class=w> </span><span class=n>i</span><span class=w> </span><span class=o>=</span><span class=w> </span><span class=n>c</span><span class=p>;</span>
<span class=w>        </span><span class=n>System</span><span class=p>.</span><span class=na>out</span><span class=p>.</span><span class=na>println</span><span class=p>(</span><span class=n>i</span><span class=p>);</span>
<span class=w>    </span><span class=p>}</span>
<span class=p>}</span>
</pre></div></code>
        </gfg-panel>
    </gfg-tabs>","[{""id"": 164521, ""text"": ""<p><span>65</span></p>""}, {""id"": 164522, ""text"": ""<p dir=\""ltr\""><span>A</span></p>""}, {""id"": 164523, ""text"": ""<p dir=\""ltr\""><span>Char</span></p>""}, {""id"": 164524, ""text"": ""<p dir=\""ltr\""><span>Compilation Error</span></p>""}]"
40085,"<p dir=""ltr""><span>What will be the output of this Java program?</span></p><gfg-tabs data-run-ide=""false"">
        <gfg-tab slot=""tab"">Java</gfg-tab>
        <gfg-panel slot=""panel"" data-code-lang=""java"">
        <code class=""language-java""><div class=highlight><pre><span></span><span class=kn>import</span><span class=w> </span><span class=nn>java.io.*</span><span class=p>;</span>

<span class=kd>public</span><span class=w> </span><span class=kd>class</span> <span class=nc>Test</span><span class=w> </span><span class=p>{</span>
<span class=w>    </span><span class=kd>public</span><span class=w> </span><span class=kd>static</span><span class=w> </span><span class=kt>void</span><span class=w> </span><span class=nf>main</span><span class=p>(</span><span class=n>String</span><span class=o>[]</span><span class=w> </span><span class=n>args</span><span class=p>)</span>
<span class=w>    </span><span class=p>{</span>
<span class=w>        </span><span class=kt>int</span><span class=w> </span><span class=n>x</span><span class=w> </span><span class=o>=</span><span class=w> </span><span class=mi>10</span><span class=p>;</span>
<span class=w>        </span><span class=n>Integer</span><span class=w> </span><span class=n>obj</span><span class=w> </span><span class=o>=</span><span class=w> </span><span class=n>x</span><span class=p>;</span><span class=w> </span><span class=c1>// Autoboxing</span>
<span class=w>        </span><span class=n>System</span><span class=p>.</span><span class=na>out</span><span class=p>.</span><span class=na>println</span><span class=p>(</span><span class=n>obj</span><span class=p>);</span>
<span class=w>    </span><span class=p>}</span>
<span class=p>}</span>
</pre></div></code>
        </gfg-panel>
    </gfg-tabs><p><br></p>","[{""id"": 164525, ""text"": ""<p><span>10</span></p>""}, {""id"": 164526, ""text"": ""<p><span>10.0</span></p>""}, {""id"": 164527, ""text"": ""<p dir=\""ltr\""><span>null</span></p>""}, {""id"": 164528, ""text"": ""<p dir=\""ltr\""><span>Compilation Error</span></p>""}]"
40086,"<p dir=""ltr""><span>What will be the output of the following Java program?</span></p><gfg-tabs data-run-ide=""false"">
        <gfg-tab slot=""tab"">Java</gfg-tab>
        <gfg-panel slot=""panel"" data-code-lang=""java"">
        <code class=""language-java""><div class=highlight><pre><span></span><span class=kn>import</span><span class=w> </span><span class=nn>java.io.*</span><span class=p>;</span>

<span class=kd>public</span><span class=w> </span><span class=kd>class</span> <span class=nc>Test</span><span class=w> </span><span class=p>{</span>
<span class=w>    </span><span class=kd>public</span><span class=w> </span><span class=kd>static</span><span class=w> </span><span class=kt>void</span><span class=w> </span><span class=nf>main</span><span class=p>(</span><span class=n>String</span><span class=o>[]</span><span class=w> </span><span class=n>args</span><span class=p>)</span>
<span class=w>    </span><span class=p>{</span>
<span class=w>        </span><span class=n>String</span><span class=w> </span><span class=n>s1</span><span class=w> </span><span class=o>=</span><span class=w> </span><span class=s>&quot;Hello&quot;</span><span class=p>;</span>
<span class=w>        </span><span class=n>String</span><span class=w> </span><span class=n>s2</span><span class=w> </span><span class=o>=</span><span class=w> </span><span class=s>&quot;Hello&quot;</span><span class=p>;</span>
<span class=w>        </span><span class=n>System</span><span class=p>.</span><span class=na>out</span><span class=p>.</span><span class=na>println</span><span class=p>(</span><span class=n>s1</span><span class=w> </span><span class=o>==</span><span class=w> </span><span class=n>s2</span><span class=p>);</span>
<span class=w>    </span><span class=p>}</span>
<span class=p>}</span>
</pre></div></code>
        </gfg-panel>
    </gfg-tabs><p dir=""ltr""><br></p>","[{""id"": 164529, ""text"": ""<p dir=\""ltr\""><span>false</span></p>""}, {""id"": 164530, ""text"": ""<p dir=\""ltr\""><span>true&nbsp;</span></p>""}, {""id"": 164531, ""text"": ""<p dir=\""ltr\""><span>Hello</span></p>""}, {""id"": 164532, ""text"": ""<p dir=\""ltr\""><span>Compilation Error</span></p>""}]"
40087,"<p dir=""ltr""><span>What will be the output of the following Java program?</span></p><gfg-tabs data-run-ide=""false"">
        <gfg-tab slot=""tab"">Java</gfg-tab>
        <gfg-panel slot=""panel"" data-code-lang=""java"">
        <code class=""language-java""><div class=highlight><pre><span></span><span class=kn>import</span><span class=w> </span><span class=nn>java.io.*</span><span class=p>;</span>

<span class=kd>public</span><span class=w> </span><span class=kd>class</span> <span class=nc>Test</span><span class=w> </span><span class=p>{</span>
<span class=w>    </span><span class=kd>public</span><span class=w> </span><span class=kd>static</span><span class=w> </span><span class=kt>void</span><span class=w> </span><span class=nf>main</span><span class=p>(</span><span class=n>String</span><span class=o>[]</span><span class=w> </span><span class=n>args</span><span class=p>)</span><span class=w> </span><span class=p>{</span>
<span class=w>        </span><span class=kt>double</span><span class=w> </span><span class=n>d</span><span class=w> </span><span class=o>=</span><span class=w> </span><span class=mf>10.5</span><span class=p>;</span>
<span class=w>        </span><span class=kt>byte</span><span class=w> </span><span class=n>b</span><span class=w> </span><span class=o>=</span><span class=w> </span><span class=p>(</span><span class=kt>byte</span><span class=p>)</span><span class=w> </span><span class=n>d</span><span class=p>;</span>
<span class=w>        </span><span class=n>System</span><span class=p>.</span><span class=na>out</span><span class=p>.</span><span class=na>println</span><span class=p>(</span><span class=n>b</span><span class=p>);</span>
<span class=w>    </span><span class=p>}</span>
<span class=p>}</span>
</pre></div></code>
        </gfg-panel>
    </gfg-tabs><p><br></p>","[{""id"": 164533, ""text"": ""<p><span>10</span></p>""}, {""id"": 164534, ""text"": ""<p><span>10.5</span></p>""}, {""id"": 164535, ""text"": ""<p><span>11</span></p>""}, {""id"": 164536, ""text"": ""<p dir=\""ltr\""><span>Compilation Error</span></p>""}]"
